Name	Sweep	
Date	24 / 3 / 2017	
Time	18:45:28	
Instrument	FSH8 - 106469/028	
Firmware Version	V1.58	
Instrument Mode	Spectrum	
Meas Mode	Spectrum	
Uplink	- - -	
Downlink	- - -	
Channel (uplink)	- - -	
9174603.17460318	-72.4098587036133	 
9190476.19047619	-72.5604934692383	 
9206349.20634921	-72.6847610473633	 
9222222.22222222	-72.7148056030273	 
9238095.23809524	-72.7017364501953	 
9253968.25396825	-72.4638214111328	 
9269841.26984127	-72.538444519043	 
9285714.28571429	-72.6893157958984	 
9301587.3015873	-72.453987121582	 
9317460.31746032	-72.5643005371094	 
9333333.33333333	-72.6770858764648	 
9349206.34920635	-72.5803680419922	 
9365079.36507937	-72.4905166625977	 
9380952.38095238	-72.4281692504883	 
9396825.3968254	-72.6275329589844	 
9412698.41269841	-72.7688522338867	 
9428571.42857143	-72.6961441040039	 
9444444.44444444	-72.6002960205078	 
9460317.46031746	-72.7468795776367	 
9476190.47619048	-72.6298217773438	 
9492063.49206349	-72.3767547607422	 
9507936.50793651	-72.7770233154297	 
9523809.52380952	-73.0315780639648	 
9539682.53968254	-72.6982040405273	 
9555555.55555556	-72.7261581420898	 
9571428.57142857	-72.832763671875	 
9587301.58730159	-72.7935028076172	 
9603174.6031746	-72.7589874267578	 
9619047.61904762	-72.6340026855469	 
9634920.63492063	-72.750862121582	 
9650793.65079365	-72.5658721923828	 
9666666.66666667	-72.4553756713867	 
9682539.68253968	-72.6052551269531	 
9698412.6984127	-72.9736480712891	 
9714285.71428571	-72.8448181152344	 
9730158.73015873	-72.6534652709961	 
9746031.74603175	-72.9307327270508	 
9761904.76190476	-72.7979202270508	 
9777777.77777778	-72.6740036010742	 
9793650.79365079	-72.9154739379883	 
9809523.80952381	-72.5630187988281	 
9825396.82539682	-72.8406295776367	 
9841269.84126984	-73.000373840332	 
9857142.85714286	-72.7435455322266	 
9873015.87301587	-72.8409423828125	 
9888888.88888889	-72.731086730957	 
9904761.9047619	-72.8339920043945	 
9920634.92063492	-73.0576400756836	 
9936507.93650794	-72.8363037109375	 
9952380.95238095	-72.9786987304688	 
9968253.96825397	-72.9799118041992	 
9984126.98412698	-72.8700485229492	 
10000000	-72.4037170410156	 
